date_de_tirage,boules_gagnantes_en_ordre_croissant,etoiles_gagnantes_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2
31/01/2023,-7-12-19-33-43-,-3-7-,7,12,33,43,19,3,7
27/01/2023,-8-9-15-19-31-,-10-12-,15,19,31,8,9,12,10
24/01/2023,-11-27-41-43-47-,-7-11-,11,27,47,41,43,7,11
20/01/2023,-3-6-13-40-42-,-7-11-,40,6,13,42,3,7,11
17/01/2023,-18-21-30-46-50-,-2-6-,18,46,30,50,21,2,6
13/01/2023,-4-13-25-33-37-,-5-10-,13,4,33,25,37,10,5
10/01/2023,-11-13-34-40-42-,-3-10-,42,11,34,13,40,10,3
06/01/2023,-16-31-35-44-45-,-4-12-,44,16,35,45,31,12,4
03/01/2023,-20-21-29-45-46-,-3-10-,20,29,21,46,45,10,3
30/12/2022,-17-34-42-47-48-,-1-9-,48,42,17,34,47,1,9
27/12/2022,-19-31-33-34-43-,-3-5-,33,31,19,34,43,5,3
23/12/2022,-16-17-23-26-35-,-5-11-,16,17,26,23,35,5,11
20/12/2022,-1-11-17-20-27-,-4-5-,1,20,11,17,27,4,5
16/12/2022,-2-15-19-35-44-,-2-7-,2,15,44,35,19,7,2
13/12/2022,-3-9-12-26-30-,-10-11-,30,3,12,26,9,10,11
09/12/2022,-8-27-31-46-50-,-1-3-,8,46,31,27,50,3,1
06/12/2022,-12-20-25-26-27-,-8-12-,20,25,27,26,12,8,12
02/12/2022,-12-21-35-39-45-,-6-11-,39,12,35,21,45,11,6
29/11/2022,-15-20-24-35-38-,-8-12-,20,38,35,15,24,12,8
25/11/2022,-19-21-35-37-39-,-2-6-,21,19,39,35,37,2,6
22/11/2022,-21-22-24-29-42-,-3-11-,24,29,42,21,22,3,11
18/11/2022,-13-16-19-35-41-,-1-11-,41,13,35,19,16,11,1
15/11/2022,-13-21-24-31-33-,-1-12-,31,21,13,24,33,1,12
11/11/2022,-2-19-24-25-44-,-2-10-,25,2,19,44,24,2,10
08/11/2022,-3-5-32-33-50-,-1-8-,50,32,33,5,3,1,8
04/11/2022,-2-11-37-45-47-,-2-3-,11,2,37,47,45,2,3
01/11/2022,-19-37-42-47-48-,-1-6-,42,48,19,37,47,6,1
28/10/2022,-14-16-21-28-35-,-1-11-,28,35,21,16,14,11,1
25/10/2022,-7-24-34-39-46-,-1-6-,24,7,46,34,39,6,1
21/10/2022,-25-26-28-38-40-,-1-6-,26,28,38,25,40,1,6
18/10/2022,-3-5-13-42-48-,-1-6-,42,3,5,48,13,6,1
14/10/2022,-24-28-29-34-48-,-3-7-,28,48,29,24,34,7,3
11/10/2022,-8-23-32-35-40-,-1-8-,40,35,8,32,23,8,1
07/10/2022,-26-27-42-45-50-,-1-12-,50,27,45,26,42,12,1
04/10/2022,-3-18-28-42-43-,-3-12-,3,28,18,43,42,12,3
30/09/2022,-1-2-11-16-26-,-3-12-,2,16,11,1,26,3,12
27/09/2022,-4-20-21-34-44-,-1-3-,34,4,44,20,21,3,1
23/09/2022,-14-15-22-35-48-,-3-8-,22,35,48,15,14,8,3
20/09/2022,-11-21-23-32-48-,-3-12-,21,11,32,48,23,12,3
16/09/2022,-10-27-36-45-49-,-3-4-,49,10,45,36,27,3,4
13/09/2022,-9-12-15-40-47-,-1-11-,40,9,12,15,47,1,11
09/09/2022,-17-23-24-26-27-,-4-9-,26,17,23,24,27,4,9
06/09/2022,-7-10-22-29-44-,-4-5-,10,44,7,29,22,4,5
02/09/2022,-7-12-13-20-45-,-3-12-,7,45,12,20,13,3,12
30/08/2022,-4-6-10-15-19-,-1-4-,6,10,4,15,19,1,4
26/08/2022,-22-23-25-38-44-,-11-12-,22,23,44,25,38,12,11
23/08/2022,-19-26-31-39-48-,-2-3-,48,39,26,19,31,2,3
19/08/2022,-2-9-13-19-38-,-2-6-,9,2,19,38,13,2,6
16/08/2022,-10-14-25-32-39-,-7-8-,10,25,14,39,32,7,8
12/08/2022,-14-17-34-35-42-,-6-10-,14,42,35,17,34,10,6
09/08/2022,-18-19-21-27-47-,-5-11-,47,18,21,19,27,11,5
05/08/2022,-3-29-33-35-44-,-8-10-,29,3,44,33,35,10,8
02/08/2022,-7-18-28-40-48-,-8-11-,28,48,18,40,7,11,8
29/07/2022,-3-23-38-43-48-,-3-8-,38,48,43,23,3,8,3
26/07/2022,-3-5-17-25-27-,-1-9-,3,5,17,27,25,9,1
22/07/2022,-16-18-29-32-50-,-4-11-,32,29,50,18,16,11,4
19/07/2022,-6-23-27-40-41-,-2-12-,41,6,27,40,23,2,12
15/07/2022,-9-17-29-38-39-,-7-10-,38,17,29,9,39,10,7
12/07/2022,-14-18-24-25-50-,-6-11-,50,18,25,24,14,11,6
08/07/2022,-28-31-35-43-46-,-4-7-,28,46,43,35,31,7,4
05/07/2022,-7-10-25-45-48-,-3-6-,7,25,48,45,10,3,6
01/07/2022,-6-18-24-34-46-,-3-12-,46,6,34,24,18,12,3
28/06/2022,-10-35-42-47-48-,-2-11-,35,10,47,42,48,11,2
24/06/2022,-10-17-28-44-50-,-8-12-,50,44,17,10,28,12,8
21/06/2022,-6-23-36-39-47-,-8-10-,23,36,39,6,47,10,8
17/06/2022,-19-21-22-31-38-,-7-11-,21,22,38,19,31,7,11
14/06/2022,-2-7-27-34-40-,-3-11-,7,40,2,27,34,3,11
10/06/2022,-17-26-36-37-40-,-9-12-,37,26,40,17,36,9,12
07/06/2022,-6-16-17-25-31-,-2-6-,17,6,31,25,16,2,6
03/06/2022,-12-28-29-34-48-,-9-11-,29,12,48,28,34,9,11
31/05/2022,-3-10-13-42-49-,-3-9-,42,13,10,49,3,3,9
27/05/2022,-15-23-28-34-48-,-3-5-,15,34,28,48,23,3,5
24/05/2022,-10-13-27-36-37-,-2-10-,27,13,10,36,37,10,2
20/05/2022,-8-22-23-32-50-,-3-9-,32,23,8,22,50,3,9
17/05/2022,-5-28-30-48-49-,-5-11-,49,28,30,5,48,5,11
13/05/2022,-3-11-17-45-48-,-4-8-,11,45,17,48,3,8,4
10/05/2022,-3-25-27-28-29-,-4-9-,28,3,29,25,27,4,9
06/05/2022,-3-8-18-24-40-,-3-11-,3,24,8,18,40,11,3
03/05/2022,-8-20-26-47-48-,-3-8-,26,48,47,8,20,8,3
29/04/2022,-10-11-20-36-37-,-3-7-,37,36,10,20,11,7,3
26/04/2022,-4-25-28-34-45-,-8-11-,25,4,28,34,45,11,8
22/04/2022,-6-11-21-35-36-,-1-9-,11,6,35,36,21,9,1
19/04/2022,-2-12-17-28-46-,-6-10-,28,46,2,17,12,10,6
15/04/2022,-6-24-30-32-48-,-5-6-,32,48,6,24,30,6,5
12/04/2022,-21-30-31-35-47-,-2-10-,30,47,35,31,21,10,2
08/04/2022,-1-15-16-38-45-,-4-11-,16,38,1,45,15,4,11
05/04/2022,-1-11-13-24-49-,-5-6-,13,1,24,11,49,5,6
01/04/2022,-2-7-21-31-45-,-4-10-,21,45,31,2,7,10,4
29/03/2022,-8-11-33-42-43-,-6-11-,43,33,11,8,42,11,6
25/03/2022,-6-10-24-27-29-,-5-12-,10,29,24,6,27,12,5
22/03/2022,-7-17-21-29-40-,-8-11-,7,29,17,40,21,8,11
18/03/2022,-1-9-14-17-43-,-6-12-,43,1,9,14,17,12,6
15/03/2022,-1-2-12-19-26-,-2-8-,2,26,19,12,1,8,2
11/03/2022,-12-19-22-23-48-,-2-6-,23,22,12,19,48,6,2
08/03/2022,-12-18-21-25-31-,-2-9-,18,12,31,25,21,9,2
