date_de_tirage,boules_gagnantes_en_ordre_croissant,etoiles_gagnantes_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance_1,numero_chance_2
2016-09-27,-6-9-13-39-41-,-2-12-,41,6,13,39,9,2,12
2016-09-30,-17-35-37-43-44-,-2-10-,35,44,17,37,43,10,2
2016-10-04,-4-7-14-34-38-,-4-11-,4,38,7,14,34,4,11
2016-10-07,-2-12-20-27-30-,-9-11-,12,30,27,20,2,11,9
2016-10-11,-5-12-20-24-37-,-4-11-,12,37,20,24,5,4,11
2016-10-14,-7-13-19-31-34-,-1-11-,31,34,19,7,13,11,1
2016-10-18,-2-17-21-25-27-,-6-9-,2,25,17,21,27,9,6
2016-10-21,-9-20-23-44-48-,-8-10-,48,9,23,20,44,10,8
2016-10-25,-3-15-20-21-28-,-1-5-,28,15,21,3,20,5,1
2016-10-28,-10-16-19-23-43-,-2-8-,23,43,10,19,16,8,2
2016-11-01,-6-10-20-29-37-,-1-9-,10,20,6,37,29,9,1
2016-11-04,-7-11-12-44-48-,-3-7-,7,11,12,48,44,7,3
2016-11-08,-5-9-47-49-50-,-8-9-,49,47,9,50,5,9,8
2016-11-11,-3-22-23-38-49-,-2-9-,38,49,3,22,23,9,2
2016-11-15,-7-15-36-42-48-,-3-7-,42,7,15,36,48,3,7
2016-11-18,-3-12-27-32-47-,-6-8-,32,27,12,47,3,8,6
2016-11-22,-5-10-33-34-47-,-2-10-,47,10,5,33,34,10,2
2016-11-25,-5-11-17-23-28-,-10-11-,28,23,5,11,17,10,11
2016-11-29,-21-26-27-28-38-,-9-11-,38,27,21,28,26,11,9
2016-12-02,-6-11-23-31-32-,-2-12-,23,32,6,11,31,2,12
2016-12-06,-1-7-11-27-45-,-4-9-,27,1,7,11,45,9,4
2016-12-09,-6-12-28-37-40-,-1-5-,6,40,37,28,12,1,5
2016-12-13,-14-28-29-48-50-,-2-8-,28,50,48,29,14,8,2
2016-12-16,-6-10-30-41-45-,-4-11-,45,10,6,30,41,11,4
2016-12-20,-13-15-17-21-27-,-2-3-,15,27,13,21,17,3,2
2016-12-23,-4-16-20-39-46-,-2-5-,46,39,16,20,4,5,2
2016-12-27,-3-22-25-32-39-,-7-12-,32,22,39,25,3,7,12
2016-12-30,-8-10-22-29-47-,-1-3-,10,22,29,47,8,1,3
2017-01-03,-19-23-27-34-49-,-1-11-,34,27,49,23,19,11,1
2017-01-06,-10-14-18-21-49-,-9-11-,21,14,49,10,18,9,11
2017-01-10,-2-11-29-35-44-,-4-9-,44,29,35,11,2,4,9
2017-01-13,-3-7-16-26-50-,-4-7-,16,7,50,3,26,4,7
2017-01-17,-4-16-25-43-47-,-2-10-,43,4,25,16,47,10,2
2017-01-20,-10-17-27-31-49-,-3-5-,17,10,27,49,31,3,5
2017-01-24,-1-5-7-17-23-,-3-8-,5,1,23,17,7,3,8
