date_de_tirage,combinaison_gagnante_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
02/11/2019,1-13-16-18-41+3,41,1,18,16,13,3
30/10/2019,2-13-22-46-48+1,46,13,48,2,22,1
28/10/2019,17-18-35-36-46+4,46,17,36,35,18,4
26/10/2019,11-13-20-30-44+9,11,30,44,13,20,9
23/10/2019,31-33-40-44-49+1,49,44,31,33,40,1
21/10/2019,3-13-40-42-48+4,13,42,40,48,3,4
19/10/2019,23-24-31-32-36+8,36,23,24,31,32,8
16/10/2019,5-18-19-30-35+2,19,30,5,18,35,2
14/10/2019,6-16-18-24-48+9,16,48,18,24,6,9
12/10/2019,10-12-16-27-37+9,27,16,12,37,10,9
09/10/2019,14-17-36-39-44+5,14,39,17,44,36,5
07/10/2019,2-4-11-19-35+5,19,4,2,35,11,5
05/10/2019,2-16-30-31-38+5,30,2,38,16,31,5
02/10/2019,32-33-35-37-49+3,33,37,32,35,49,3
30/09/2019,2-23-33-43-47+2,43,2,33,23,47,2
28/09/2019,12-15-18-19-40+5,18,15,12,19,40,5
25/09/2019,1-7-15-22-26+3,7,1,26,22,15,3
23/09/2019,20-29-34-36-42+4,36,20,42,34,29,4
21/09/2019,8-15-41-42-44+10,15,42,41,44,8,10
18/09/2019,3-5-6-16-36+10,16,6,36,5,3,10
16/09/2019,13-31-32-35-42+5,42,35,31,32,13,5
14/09/2019,18-19-23-26-28+9,28,23,18,26,19,9
11/09/2019,6-14-19-27-35+10,35,19,6,27,14,10
09/09/2019,2-5-28-42-44+8,42,2,44,28,5,8
07/09/2019,2-12-16-27-30+2,16,12,27,30,2,2
04/09/2019,2-4-7-25-35+3,25,2,4,7,35,3
02/09/2019,2-6-21-33-44+4,6,2,44,33,21,4
31/08/2019,19-21-25-38-47+4,47,21,25,19,38,4
28/08/2019,7-14-25-42-47+5,14,25,47,7,42,5
26/08/2019,4-21-27-46-47+6,4,21,46,27,47,6
24/08/2019,15-17-23-31-38+4,23,31,15,38,17,4
21/08/2019,1-3-17-25-38+8,17,3,38,1,25,8
19/08/2019,2-7-14-28-31+3,14,31,7,28,2,3
17/08/2019,1-8-21-28-37+2,1,21,28,8,37,2
14/08/2019,17-27-34-45-48+2,45,17,27,48,34,2
12/08/2019,9-20-30-31-34+10,31,30,9,20,34,10
10/08/2019,4-9-12-18-37+3,37,4,12,9,18,3
07/08/2019,5-26-28-29-36+4,26,28,36,29,5,4
05/08/2019,5-22-26-33-45+9,5,45,22,26,33,9
03/08/2019,4-5-7-10-23+4,10,4,5,23,7,4
31/07/2019,8-18-30-32-36+5,32,18,8,36,30,5
29/07/2019,3-6-21-29-47+3,6,29,3,47,21,3
27/07/2019,25-28-31-39-47+8,25,28,39,47,31,8
24/07/2019,10-25-32-39-40+10,39,25,10,32,40,10
22/07/2019,7-11-28-37-44+3,28,37,44,11,7,3
20/07/2019,17-18-21-29-35+6,21,17,29,35,18,6
17/07/2019,4-26-27-28-47+8,26,4,27,47,28,8
15/07/2019,1-3-10-13-19+4,10,1,19,13,3,4
13/07/2019,18-27-37-48-49+10,27,18,49,37,48,10
10/07/2019,7-21-29-35-47+6,7,21,29,35,47,6
08/07/2019,11-20-26-33-38+10,26,11,38,20,33,10
06/07/2019,2-6-12-13-27+10,13,6,2,27,12,10
03/07/2019,8-31-38-39-45+8,39,38,8,31,45,8
01/07/2019,3-17-23-38-41+3,38,23,41,3,17,3
29/06/2019,1-3-4-42-46+3,46,42,1,4,3,3
26/06/2019,4-7-30-43-47+10,4,47,43,30,7,10
24/06/2019,1-16-32-33-45+6,33,16,1,32,45,6
22/06/2019,10-13-20-25-27+2,13,20,10,25,27,2
19/06/2019,4-18-36-45-46+5,45,46,4,36,18,5
17/06/2019,12-13-20-31-49+2,20,49,31,12,13,2
15/06/2019,2-13-20-30-37+6,2,13,20,30,37,6
12/06/2019,3-25-31-38-45+9,25,31,45,38,3,9
10/06/2019,9-18-24-39-49+8,9,24,18,49,39,8
08/06/2019,9-10-14-41-45+1,14,41,9,10,45,1
05/06/2019,17-26-28-38-47+7,28,47,26,38,17,7
03/06/2019,9-12-33-41-42+1,42,12,9,41,33,1
01/06/2019,13-20-26-35-45+3,35,26,13,45,20,3
29/05/2019,6-13-14-36-48+2,36,48,14,13,6,2
27/05/2019,13-18-28-33-42+9,33,13,28,18,42,9
25/05/2019,2-13-42-43-47+10,42,47,2,13,43,10
22/05/2019,1-27-37-48-49+1,1,48,27,49,37,1
20/05/2019,14-29-32-41-43+1,32,14,43,29,41,1
18/05/2019,4-10-19-42-46+5,19,4,10,42,46,5
15/05/2019,27-38-42-44-46+1,38,44,46,27,42,1
13/05/2019,15-24-37-40-41+4,15,24,37,40,41,4
11/05/2019,19-24-34-44-45+2,24,44,34,19,45,2
08/05/2019,2-4-16-20-35+5,2,16,4,20,35,5
06/05/2019,5-23-24-35-38+3,23,38,5,24,35,3
04/05/2019,3-18-24-29-38+9,38,18,3,24,29,9
01/05/2019,16-25-26-34-48+8,26,48,25,16,34,8
29/04/2019,6-29-33-39-43+2,33,43,39,6,29,2
27/04/2019,17-25-26-27-33+2,27,17,26,25,33,2
24/04/2019,3-11-13-15-35+3,3,11,35,13,15,3
22/04/2019,5-7-21-29-39+7,39,7,21,29,5,7
20/04/2019,4-15-30-45-49+3,4,30,15,49,45,3
17/04/2019,8-17-29-34-48+3,29,17,34,48,8,3
15/04/2019,17-32-38-40-44+6,32,44,40,17,38,6
13/04/2019,1-9-17-24-46+8,17,9,1,24,46,8
10/04/2019,14-16-22-23-42+5,22,23,14,42,16,5
08/04/2019,9-13-15-24-26+9,24,9,26,15,13,9
06/04/2019,13-19-24-26-27+7,19,26,13,27,24,7
03/04/2019,10-16-18-38-45+3,16,38,18,45,10,3
01/04/2019,11-14-32-35-46+10,32,14,35,46,11,10
30/03/2019,2-3-15-41-44+3,15,44,41,3,2,3
27/03/2019,10-19-25-45-49+1,49,45,25,10,19,1
25/03/2019,22-23-24-46-47+2,46,47,23,22,24,2
23/03/2019,1-12-26-28-40+6,12,1,40,28,26,6
20/03/2019,2-3-13-21-40+8,13,3,21,2,40,8
18/03/2019,23-24-38-44-45+6,38,23,45,24,44,6
16/03/2019,1-19-22-31-33+1,33,19,1,31,22,1
13/03/2019,5-8-20-29-32+3,29,5,20,8,32,3
11/03/2019,5-6-16-24-25+1,25,24,16,6,5,1
09/03/2019,15-32-35-43-47+10,32,47,43,35,15,10
06/03/2019,14-15-23-44-46+5,14,23,15,44,46,5
04/03/2019,4-11-15-33-36+2,4,15,11,36,33,2
02/03/2019,16-25-38-42-46+9,46,42,38,25,16,9
27/02/2019,1-4-14-19-34+2,14,1,34,19,4,2
