date_de_tirage,combinaison_gagnante_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
09/01/2023,1-20-30-38-48+3,38,1,48,30,20,3
07/01/2023,7-8-21-34-43+6,8,43,7,21,34,6
04/01/2023,3-5-25-38-49+10,3,5,49,38,25,10
02/01/2023,1-39-41-45-49+5,49,39,45,41,1,5
31/12/2022,11-16-23-35-39+8,35,39,16,11,23,8
28/12/2022,1-3-8-29-35+8,29,1,3,35,8,8
26/12/2022,6-23-32-48-49+4,6,23,32,49,48,4
24/12/2022,6-12-41-46-47+6,12,41,47,46,6,6
21/12/2022,11-12-15-21-22+7,11,22,15,12,21,7
19/12/2022,6-31-35-36-43+4,43,35,6,31,36,4
17/12/2022,8-23-27-42-46+3,46,27,42,23,8,3
14/12/2022,4-6-15-20-37+10,15,37,4,20,6,10
12/12/2022,2-25-35-46-47+10,46,25,47,2,35,10
10/12/2022,6-13-27-29-43+2,6,43,29,13,27,2
07/12/2022,2-10-12-15-38+5,2,12,38,15,10,5
05/12/2022,9-17-24-36-45+7,36,45,9,24,17,7
03/12/2022,19-26-27-32-34+9,32,19,34,26,27,9
30/11/2022,18-28-30-44-49+5,44,18,28,49,30,5
28/11/2022,2-9-13-24-46+6,24,46,9,2,13,6
26/11/2022,2-5-7-23-28+5,5,7,28,23,2,5
23/11/2022,15-19-36-45-46+4,46,36,45,15,19,4
21/11/2022,15-23-33-45-47+7,45,33,47,15,23,7
19/11/2022,1-19-24-28-40+8,40,24,19,1,28,8
16/11/2022,1-3-8-38-48+1,1,8,48,38,3,1
14/11/2022,14-23-28-34-44+5,28,23,34,44,14,5
12/11/2022,4-14-25-34-44+7,14,44,34,25,4,7
09/11/2022,1-2-15-30-41+9,15,2,1,41,30,9
07/11/2022,8-9-24-31-40+7,24,8,9,40,31,7
05/11/2022,6-23-32-38-40+10,40,6,38,23,32,10
02/11/2022,4-7-26-38-45+2,45,7,38,4,26,2
31/10/2022,4-25-34-44-45+7,34,25,45,44,4,7
29/10/2022,26-28-33-44-48+4,33,28,48,44,26,4
26/10/2022,2-4-23-30-45+5,45,30,4,2,23,5
24/10/2022,28-29-33-37-43+1,43,28,33,37,29,1
22/10/2022,2-7-12-25-35+10,12,2,25,35,7,10
19/10/2022,16-25-35-38-46+8,35,16,38,46,25,8
17/10/2022,16-20-38-40-49+2,38,49,20,16,40,2
